block_id_v1,er_web,er_web_rescaled,sa_web,sa_web_rescaled,score_v1_web,sm_web,sm_web_rescaled,sp_web,sp_web_rescaled,ve_web,ve_web_rescaled,vg_web,vg_web_rescaled
88,15177,66,210278,39,54,NA,NA,3292,53,NA,NA,861.1025695800781,10
89,16856,74,241959.25,44,60,NA,NA,3542.75,57,NA,NA,908.1461334228516,11
90,16856,74,241940,44,60,NA,NA,3541.1666666666665,57,NA,NA,901.62945556640625,11
91,16856,74,241964.33333333334,44,60,NA,NA,3542.3333333333335,57,NA,NA,907.563486735026,11
92,16856,74,241935.66666666666,44,60,NA,NA,3541.3333333333335,57,NA,NA,900.7041422526041,11
93,16856,74,241945.75,44,60,NA,NA,3542,57,NA,NA,906.9753265380859,11
94,16856,74,241923.5,44,60,NA,NA,3542,57,NA,NA,899.7700398763021,11
95,16854.666666666668,74,241921.33333333334,44,60,NA,NA,3542,57,NA,NA,905.2390441894531,11
96,16854.666666666668,74,241910.11111111112,44,60,NA,NA,3542.8888888888887,57,NA,NA,897.6489325629341,11
97,9467.2,40.9,133925.98,24.2,34.4,NA,NA,1979.46,31.3,NA,NA,881.6291375732421,10.84
98,5676.111111111111,24,61951.666666666664,11,19,NA,NA,923.5333333333333,14,NA,NA,855.0620951334636,10
99,5675,24,61949.333333333336,11,19,NA,NA,924,14,NA,NA,838.1236470540365,10
100,5578.5,24,61912.25,11,19,NA,NA,926,14,NA,NA,821.5049133300781,10
101,5563,24,61854,11,19,NA,NA,924.3333333333334,14,NA,NA,804.7443440755209,9
102,5675,24,61947.666666666664,11,19,NA,NA,924,14,NA,NA,834.0111558702257,10
103,5578.5,24,61914.333333333336,11,19,NA,NA,926,14,NA,NA,816.7460530598959,9.833333333333334
104,5675,24,61947.333333333336,11,19,NA,NA,924,14,NA,NA,829.8597106933594,10
105,5578.5,24,61914.5,11,19,NA,NA,926,14,NA,NA,811.94207763671875,9.5
106,5675,24,61946.333333333336,11,19,NA,NA,924,14,NA,NA,824.280042860243,10
107,16849,74,241895,44,60,NA,NA,3542.5,57,NA,NA,896.22564697265625,11
108,16849,74,241891.83333333334,44,60,NA,NA,3543.1666666666665,57,NA,NA,888.0501403808594,11
109,16849,74,241894.5,44,60,NA,NA,3542,57,NA,NA,893.82562255859375,11
110,16849,74,241890.75,44,60,NA,NA,3542,57,NA,NA,887.048095703125,11
111,16849,74,241891.66666666666,44,60,NA,NA,3542.8333333333335,57,NA,NA,878.3461405436198,11
112,16849,74,241891.66666666666,44,60,NA,NA,3542,57,NA,NA,882.8489888509115,11
113,16849,74,241891.16666666666,44,59.833333333333336,NA,NA,3542,57,NA,NA,875.5581461588541,10.833333333333334
114,16849,74,241889.44444444444,44,59.22222222222222,NA,NA,3541.777777777778,57,NA,NA,866.1971028645834,10.11111111111111
115,16849,74,241894.25,44,59.75,NA,NA,3542,57,NA,NA,872.0260009765625,10.5
116,16849,74,241893.5,44,59,NA,NA,3542,57,NA,NA,864.22900390625,10
117,16849,74,241893.16666666666,44,59,NA,NA,3542.5,57,NA,NA,854.2180684407552,10
118,9777.325301204819,42.325301204819276,139970.8795180723,25.313253012048193,35.44578313253012,NA,NA,2069.024096385542,32.75903614457831,NA,NA,849.6442797557418,10.08433734939759
119,5673,24,61936.25,11,19,NA,NA,924,14,NA,NA,847.7902984619141,10
120,5569.75,24,61928.75,11,19,NA,NA,926.5,14,NA,NA,841.1388854980469,10
121,5573,24,61902.166666666664,11,19,NA,NA,926,14,NA,NA,833.1724141438802,10
122,5573,24,61902.5,11,19,NA,NA,926,14,NA,NA,825.1149597167969,10
123,5673,24,61933.444444444445,11,19,NA,NA,924,14,NA,NA,834.1696099175347,10
124,5561.5,24,61899,11,19,NA,NA,926,14,NA,NA,825.3199462890625,10
125,5559,24,61845.11111111111,11,19,NA,NA,924.8888888888889,14,NA,NA,816.7157660590278,9.777777777777779
126,5673,24,61932.666666666664,11,19,NA,NA,924,14,NA,NA,818.6788228352865,9.833333333333334
